finding_id,title,severity,status,category,cloud_provider,cloud_account,resource_id,resource_type,resource_name,region,internet_facing,data_classification,compliance_framework,cis_control,created_date,closed_date,sla_hours,assignee,assignment_group
WIZ-037,SA Domain-Wide Delegation Enabled,HIGH,Open,IAM,GCP,PROJ-PROD-001,projects/prod-001/sa/svc-workspace-sync,Service Account,svc-workspace-sync,global,No,Restricted,CIS GCP 1.9,1.9,2025-03-07,,168,,
WIZ-038,Managed Disk Unencrypted,HIGH,Closed,Compute,Azure,SUB-PROD-003,/subscriptions/prod-003/disks/disk-legacy-01,Managed Disk,disk-legacy-01,Central US,No,Confidential,CIS Azure 7.3,7.3,2025-02-15,2025-02-22,168,,
WIZ-039,GCS Bucket No Versioning,LOW,Open,Storage,GCP,PROJ-PROD-002,projects/prod-002/buckets/logs-archive,Cloud Storage,logs-archive,us-central1,No,Internal,Best Practice,BP-01,2025-03-10,,2160,,
WIZ-040,NSG Allows MySQL from Any,CRITICAL,Open,Network,Azure,SUB-PROD-002,/subscriptions/prod-002/nsg/nsg-db-tier,NSG,nsg-db-tier,West US,Yes,Restricted,CIS Azure 6.3,6.3,2025-03-12,,24,,
WIZ-041,Custom Role with Wildcard Perms,CRITICAL,Closed,IAM,Azure,SUB-CORP-001,/tenants/corp/roles/custom-superadmin,Custom Role,custom-superadmin,global,No,Restricted,CIS Azure 1.23,1.23,2025-02-20,2025-02-22,24,,
WIZ-042,AKS hostNetwork Enabled on Pod,HIGH,Open,Container,Azure,SUB-PROD-001,/subscriptions/prod-001/aks/aks-prod-01/pods/monitoring-agent,AKS Pod,monitoring-agent,East US,No,Internal,CIS EKS 5.2.4,5.2.4,2025-03-14,,168,,
WIZ-043,GKE Network Policy Not Enforced,MEDIUM,Open,Container,GCP,PROJ-PROD-003,projects/prod-003/clusters/gke-prod-01,GKE Cluster,gke-prod-01,us-east1,No,Internal,CIS GKE 6.6,6.6,2025-03-15,,720,,
WIZ-044,Storage Account Shared Key Access,HIGH,Open,Storage,Azure,SUB-PROD-001,/subscriptions/prod-001/storageAccounts/stgprod01,Storage Account,stgprod01,East US,No,Confidential,CIS Azure 3.3,3.3,2025-03-16,,168,,
WIZ-045,Org Policy Not Set - Public IP,MEDIUM,Open,Network,GCP,PROJ-PROD-002,projects/prod-002,Project,proj-prod-002,global,No,Internal,CIS GCP 3.10,3.10,2025-03-17,,720,,
WIZ-046,PIM Not Enabled for Admin Roles,HIGH,Closed,IAM,Azure,SUB-CORP-001,/tenants/corp/pim/global-admin-role,PIM Setting,PIM-Global-Admin,global,No,Restricted,CIS Azure 1.1.3,1.1.3,2025-03-01,2025-03-10,168,,
WIZ-047,GKE Binary Authorization Disabled,MEDIUM,Open,Container,GCP,PROJ-PROD-003,projects/prod-003/clusters/gke-prod-01,GKE Cluster,gke-prod-01,us-east1,No,Internal,CIS GKE 6.10,6.10,2025-03-18,,720,,
WIZ-048,Break-Glass Account Not Configured,HIGH,Open,IAM,Azure,SUB-CORP-001,/tenants/corp/users/emergency-access,Entra ID Config,Emergency-Access,global,No,Restricted,CIS Azure 1.1.4,1.1.4,2025-03-19,,168,,
WIZ-049,Workload Identity Not Enabled,MEDIUM,Open,Container,GCP,PROJ-PROD-001,projects/prod-001/clusters/gke-staging,GKE Cluster,gke-staging,us-central1,No,Internal,CIS GKE 6.2,6.2,2025-03-20,,720,,
WIZ-050,Soft Delete Not Enabled on Blob,LOW,Open,Storage,Azure,SUB-PROD-003,/subscriptions/prod-003/storageAccounts/stgarchive,Storage Account,stgarchive,Central US,No,Internal,CIS Azure 3.8,3.8,2025-03-20,,2160,,
